matricula_id,genero_id,edad,rango_edad_id,anio_ingreso,semestre_ingreso,institucion_id,carrera_id,via_ingreso_id,comuna_id
16,1,21,2,2019,Primer semestre,1,1,5,147
21,2,20,2,2021,Primer semestre,1,310,5,147
22,2,20,2,2021,Primer semestre,10,63,5,147
175,2,19,1,2020,Primer semestre,7,131,5,147
222,2,32,4,2020,Primer semestre,8,228,5,147
224,1,23,2,2016,Primer semestre,9,74,5,147
255,2,19,1,2020,Primer semestre,10,77,5,147
268,1,24,2,2021,Primer semestre,1,66,5,147
339,1,24,2,2017,Primer semestre,9,183,5,147
355,2,21,2,2021,Primer semestre,1,66,9,147
501,1,29,3,2019,Primer semestre,10,39,5,147
606,2,21,2,2021,Primer semestre,10,77,5,147
609,2,19,1,2021,Primer semestre,10,210,5,147
671,2,26,3,2014,Primer semestre,10,57,5,147
718,2,25,3,2017,Primer semestre,5,120,5,147
773,1,23,2,2018,Primer semestre,10,211,5,147
774,1,23,2,2017,Primer semestre,15,186,5,147
802,1,22,2,2019,Primer semestre,10,216,5,147
803,1,22,2,2018,Primer semestre,9,83,5,147
932,2,21,2,2021,Primer semestre,1,308,5,147
935,1,19,1,2021,Primer semestre,2,279,5,147
965,1,46,6,2020,Primer semestre,1,309,5,147
988,1,22,2,2017,Primer semestre,11,188,5,147
1083,1,21,2,2019,Primer semestre,1,281,5,147
1109,2,33,4,2012,Primer semestre,3,237,5,147
1127,1,21,2,2019,Primer semestre,10,211,5,147
1260,1,19,1,2020,Primer semestre,13,232,5,147
1276,1,23,2,2020,Primer semestre,8,305,5,147
1328,2,24,2,2021,Primer semestre,1,66,5,147
1342,1,24,2,2018,Primer semestre,5,260,5,147
1474,2,23,2,2019,Primer semestre,9,59,5,147
1525,1,21,2,2021,Primer semestre,2,272,5,147
1536,2,27,3,2018,Primer semestre,13,232,5,147
1570,2,21,2,2018,Primer semestre,10,195,5,147
1633,1,27,3,2021,Primer semestre,2,292,5,147
1638,1,23,2,2021,Primer semestre,15,85,2,147
1710,2,19,1,2021,Primer semestre,10,82,5,147
1734,1,26,3,2017,Primer semestre,6,71,5,147
1770,2,21,2,2019,Primer semestre,9,76,5,147
1794,2,22,2,2021,Primer semestre,10,210,5,147
1820,1,32,4,2021,Primer semestre,11,314,5,147
1841,2,25,3,2019,Primer semestre,6,71,5,147
1849,1,27,3,2020,Primer semestre,5,293,5,147
1919,2,26,3,2017,Primer semestre,10,204,5,147
2085,2,21,2,2020,Primer semestre,9,5,5,147
2094,1,28,3,2020,Primer semestre,1,23,5,147
2190,2,48,6,2020,Primer semestre,14,34,5,147
2204,1,23,2,2020,Primer semestre,7,238,5,147
2288,1,19,1,2021,Primer semestre,10,30,5,147
2385,2,23,2,2019,Primer semestre,5,277,5,147
2589,1,29,3,2021,Primer semestre,6,103,5,147
2645,1,32,4,2021,Primer semestre,14,234,5,147
2853,1,31,4,2017,Primer semestre,14,234,5,147
2952,1,26,3,2017,Primer semestre,13,232,5,147
2980,2,19,1,2021,Primer semestre,6,139,5,147
3088,2,26,3,2021,Primer semestre,2,262,5,147
3094,1,20,2,2021,Primer semestre,8,304,5,147
3155,2,22,2,2020,Primer semestre,1,53,5,147
3297,2,19,1,2021,Primer semestre,2,279,5,147
3359,2,23,2,2021,Primer semestre,6,70,5,147
3474,2,24,2,2021,Primer semestre,2,246,5,147
3551,2,37,5,2019,Primer semestre,5,99,5,147
3552,2,22,2,2018,Primer semestre,10,214,5,147
3574,2,29,3,2017,Primer semestre,7,241,5,147
3575,1,19,1,2021,Primer semestre,10,318,6,147
3605,1,19,1,2020,Primer semestre,9,183,5,147
3747,2,21,2,2020,Primer semestre,5,120,5,147
3794,1,19,1,2020,Primer semestre,11,188,5,147
3796,1,28,3,2018,Primer semestre,10,63,5,147
3813,1,19,1,2021,Primer semestre,2,284,5,147
3943,1,21,2,2019,Primer semestre,5,280,5,147
3991,2,24,2,2020,Primer semestre,11,218,5,147
4045,1,20,2,2019,Primer semestre,6,70,5,147
4131,1,26,3,2021,Primer semestre,4,283,5,147
4327,1,22,2,2017,Primer semestre,10,57,5,147
4392,2,19,1,2021,Primer semestre,2,222,5,147
4445,1,21,2,2020,Primer semestre,9,59,5,147
4506,1,19,1,2021,Primer semestre,9,83,5,147
4596,1,20,2,2021,Primer semestre,10,318,5,147
4597,2,20,2,2020,Primer semestre,1,66,5,147
4648,1,22,2,2018,Primer semestre,10,30,5,147
4660,1,19,1,2020,Primer semestre,9,59,5,147
4718,1,19,1,2020,Primer semestre,1,66,5,147
4764,1,23,2,2018,Primer semestre,9,183,5,147
4807,1,21,2,2019,Primer semestre,7,241,5,147
4808,1,21,2,2019,Primer semestre,10,211,5,147
4891,1,24,2,2019,Primer semestre,2,292,5,147
4938,2,24,2,2021,Primer semestre,6,3,1,147
4994,2,24,2,2021,Primer semestre,14,87,5,147
5099,1,28,3,2017,Primer semestre,10,229,3,147
5109,1,20,2,2020,Primer semestre,10,57,5,147
5159,2,23,2,2021,Primer semestre,6,144,5,147
5224,1,21,2,2020,Primer semestre,7,238,5,147
5248,2,21,2,2019,Primer semestre,10,77,5,147
